Code ISIN;Catégorie Morningstar;Libellé du fonds;Société de gestion;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %;Page
LU1301026388;ACTIONS EUROPE GDES CAP. MIXTE;Sycomore Fund SICAV - Sycomore Europe Happy@Work RC EUR;Sycomore AM;4;2;0,5;2,5;23
LU2638914734;THEMATIQUES TECHNOLOGIE;TOBAM Global Blockchain Equity Fund - B2 EUR Acc;TOBAM;6;0,07;0,5;0,57;23
FR0007472501;ACTIONS FRANCE;Tailor Actions Avenir ISR C;Tailor AM;4;2,61;0,5;3,11;23
FR0012127389;ACTIONS EUROPE GDES CAP. MIXTE;Tikehau Equity Selection R-Acc-EUR;Tikehau Investment Management;4;1,8;0,5;2,3;23
LU2737748660;ACTIONS EUROPE GDES CAP. MIXTE;Tikehau European Sovereignty Fund R- Temp-Acc-EUR;Tikehau Investment Management;4;2,05;0,5;2,55;23
FR0012158848;ACTIONS FRANCE PETITES & MOY. CAP.;Hastings Investissement;Turgot Asset Management;3;3;0,5;3,5;24
LU0191819951;ACTIONS EUROPE GDES CAP. MIXTE;Uni-Global - Defensive European Equities SA- EUR;Unigestion Asset Management (France);4;1,49;0,5;1,99;24
IE0002Y8CX98;ACTIONS SECTEUR BIENS INDUSTRIELS;WisdomTree Europe Defence UCITS ETF - EUR Acc;WisdomTree;5;0,2;0,5;0,7;24
LU0125750504;OBLIGATIONS INTERNATIONALES HAUT RENDEMENT;AXA World Funds - Global High Yield Bonds A Capitalisation EUR (Hedged);AXA Funds Management S.A.;2;1,52;0,5;2,02;24
LU0119176310;OBLIGATIONS EURO HAUT RENDEMENT;abrdn SICAV I – Euro High Yield Bond Fund Class A Acc EUR;Aberdeen Standard Investments Luxembourg S.A.;3;1,46;0,5;1,96;24
FR0010032326;OBLIGATIONS EURO HAUT RENDEMENT;Allianz Euro High Yield RC;Allianz Global Investors GmbH;2;0,99;0,5;1,49;24
FR0013202132;OBLIGATIONS D'ENTREPRISE EUR;Sextant Bond Picking A;Amiral Gestion;2;1,28;0,5;1,78;24
FR001400S409;REVENUS FIXES EUR;Sextant Regatta 2031 A;Amiral Gestion;3;0,52;0,5;1,02;24
LU1287023003;OBLIGATIONS D'ETAT EUR;Amundi Euro Government Bond 5-7Y UCITS ETF Acc;Amundi Asset Management;3;1,8;0,5;2,3;24
LU1287023185;OBLIGATIONS D'ETAT EUR;Amundi Euro Government Bond 7-10Y UCITS ETF Acc;Amundi Asset Management;3;1,71;0,5;2,21;24
LU1563454310;OBLIGATIONS MONDE;Amundi Global Aggregate Green Bond UCITS ETF Acc;Amundi Asset Management;3;3,79;0,5;4,29;24
LU1650487413;OBLIGATIONS D'ETAT EUR COURT TERME;Amundi Euro Government Bond 1-3Y UCITS ETF Acc;Amundi Asset Management;2;2,97;0,5;3,47;24
FR0010156604;OBLIGATIONS INTERNATIONALES FLEXIBLES;AMUNDI OBLIG INTERNATIONALES FLEXIBLE EUR - P (C);Amundi Asset Management;3;1,12;0,5;1,62;24
LU0907913460;OBLIGATIONS EMERGENTES EN DEVISES FORTES;AMUNDI FUNDS EMERGING MARKETS HARD CURRENCY BOND - A EUR (C);Amundi Luxembourg S.A.;3;1,54;0,5;2,04;25
LU1161086159;OBLIGATIONS EMERGENTES;AMUNDI FUNDS EMERGING MARKETS BLENDED BOND - A EUR (C);Amundi Luxembourg S.A.;2;1,55;0,5;2,05;25
FR0010951426;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;Anaxis Short Duration E1;Anaxis Asset Management;2;1,25;0,5;1,75;25
FR0000097495;OBLIGATIONS INTERNATIONALES FLEXIBLES;Ofi Invest Oblig International;Aviva Investors France;2;0,98;0,5;1,48;25
FR0000172033;OBLIGATIONS D'ETAT EUR;AXA Euro Obligations C;Axa Investment Managers Paris;3;0,85;0,5;1,35;25
FR0000172124;OBLIGATIONS D'ETAT EUR;AXA Euro 7-10;Axa Investment Managers Paris;3;0,65;0,5;1,15;25
FR0000288664;OBLIGATIONS D'ENTREPRISE EUR;AXA Euro Credit (C);Axa Investment Managers Paris;2;0,82;0,5;1,32;25
LU1876460061;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;Axiom Short Duration Bond RC EUR;Axiom Alternative Investments;2;1,7;0,5;2,2;25
IE00BD5CTX77;OBLIGATIONS INTERNATIONALES HAUT RENDEMENT;BNY Mellon Global Short-Dated High Yield Bond Fund EUR H Acc Hedged;BNY Mellon Fund Management Luxembourg S.A.;2;1,34;0,5;1,84;25
IE00BYWZ0440;OBLIGATIONS INTERNATIONALES HAUT RENDEMENT;iShares Global High Yield Corp Bond UCITS ETF USD (Acc);BlackRock Asset Management Ireland Limited;3;0,4;0,5;0,9;25
LU0050372472;OBLIGATIONS D'ETAT EUR;BlackRock Global Funds - Euro Bond A2;Blackrock (Luxembourg) S.A.;3;0,98;0,5;1,48;25
LU0162658883;OBLIGATIONS D'ENTREPRISE EUR;BlackRock Global Funds - Euro Corporate Bond Fund A2;Blackrock (Luxembourg) S.A.;2;1,02;0,5;1,52;25
LU0907927171;OBLIGATIONS EMERGENTES;DPAM L - Bonds Emerging Markets Sustainable A EUR;CA lndosuez Fund Solutions S.A.;3;1,24;0,5;1,74;25
FR0010832469;OBLIGATIONS EURO INFLATION;CPR Focus Inflation - P;CPR Asset Management;2;0,79;0,5;1,29;25
FR0011445436;OBLIGATIONS INTERNATIONALES FLEXIBLES;Candriam Patrimoine Obli-Inter C;Candriam;2;1,01;0,5;1,51;25
FR0010149120;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;Carmignac Sécurité AW EUR Acc;Carmignac Gestion;2;1,11;0,5;1,61;25
