Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
LU0261946445;Fidelity Funds - Asia Equity ESG Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,50%;0,60%;2,10%
LU0261948227;Fidelity Funds - Germany Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS EUROPE HORS UK GDES CAP.;4;1,50%;0,60%;2,10%
LU0261951957;FF - Global Dividend Plus Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS SECTEUR DIVIDENDES;3;1,50%;0,60%;2,10%
LU0266012235;AXA World Funds - Global Real Estate A Capitalisation EUR;AXA Investment Managers Paris S.A.;IMMOBILIER - INDIRECT MONDE;4;2,00%;0,60%;2,60%
LU0270905242;Pictet-Security R EUR;Pictet Asset Management (Europe) SA;ACTIONS THEMATIQUES;5;2,90%;0,60%;3,50%
LU0273158872;DWS Invest Global Agribusiness LC;DWS Investment S.A.;ACTIONS SECTEUR MATIERES PREMIERES;4;1,50%;0,60%;2,10%
LU0275692696;Fidelity Funds - American Growth Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS ETATS-UNIS FLEX CAP;4;1,50%;0,60%;2,10%
LU0280435388;Pictet - Clean Energy Transition P EUR;Pictet Asset Management (Europe) SA;SECTEUR TRANSITION ENERGETIQUE;5;2,40%;0,60%;3,00%
LU0281483569;JPMorgan Funds - US Select Equity Plus Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS ETATS-UNIS GDES CAP. MIXTE;4;1,50%;0,60%;2,10%
LU0281484880;JPMorgan Funds - US Select Equity Plus Fund D (acc) - USD;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;1,50%;0,60%;2,10%
LU0284396016;DNCA Invest Value Europe Class A shares EUR;DNCA Finance;"ACTIONS EUROPE GDES CAP. ""VALUE""";4;2,00%;0,60%;2,60%
LU0286061501;Ofi Invest ESG Asia Emerging Markets Ex China Fund R;OFI Invest Lux;ACTIONS MARCHÉS EMERGENTS;4;2,20%;0,60%;2,80%
LU0292109005;Xtrackers MSCI EM Europe, Middle East & Africa ESG Swap UCITS ETF 1C;DWS Investment S.A. (ETF);ACTIONS MARCHÉS EMERGENTS EUROPE;5;0,45%;0,60%;1,05%
LU0302446645;Schroder International Selection Fund Global Climate Change Equity A Accumulation EUR;Schroder Investment Management (Europe) S.A.;ACTIONS SECTEUR ENVIRONNEMENT;4;1,50%;0,60%;2,10%
LU0308864023;MainFirst Top European Ideas A;ETHENEA Independent Investors S.A.;ACTIONS EUROPE FLEX CAP;5;2,00%;0,60%;2,60%
LU0318933057;JPMorgan Funds - Emerging Markets Small Cap Fund A (acc) (perf) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS MARCHÉS EMERGENTS PETITES & MOY. CAP.;4;1,50%;0,60%;2,10%
LU0323591833;Schroder International Selection Fund QEP Global Quality A Accumulation EUR;Schroder Investment Management (Europe) S.A.;ACTIONS MONDE GDES CAP.;4;1,25%;0,60%;1,85%
LU0327689542;AXA World Funds - Emerging Markets Responsible Equity QI A Capitalisation EUR;AXA Investment Managers Paris S.A.;ACTIONS MARCHÉS EMERGENTS;4;0,60%;0,60%;1,20%
LU0329678410;Fidelity Funds - Emerging Asia Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS MARCHÉS EMERGENTS ASIE;4;1,50%;0,60%;2,10%
LU0336083810;Carmignac Portfolio Asia Discovery A EUR Acc;Carmignac Gestion Luxembourg S.A.;ACTIONS MARCHÉS EMERGENTS PETITES & MOY. CAP.;4;2,00%;0,60%;2,60%
LU0340554913;Pictet-Digital P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR TECHNOLOGIES;5;2,40%;0,60%;3,00%
LU0340559557;Pictet-Timber P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR MATIERES PREMIERES;5;2,40%;0,60%;3,00%
LU0347711466;BNP Paribas Funds - Global Environment Classic Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS SECTEUR ENVIRONNEMENT;4;1,75%;0,60%;2,35%
LU0366534344;Pictet - Nutrition P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR MATIERES PREMIERES;4;2,40%;0,60%;3,00%
LU0390135415;Templeton Asian Smaller Companies Fund A(acc)EUR;Franklin Templeton International Services S.à r.l.;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,85%;0,60%;2,45%
